"placa","h_perm_front","anoModelo","categoria","cor","dataEmissaoCrv","descricaoTipoDocumentoProprietario","marcaModelo","municipioEmplacamento","tipo","ufEmplacamento","descricao","ilicito"
"veiculo241",1.648,2023,"PARTICULAR","CINZA",1669777200000,"CNPJ","JEEP/RENEGADE SPT T270","CURITIBA","CAMIONETA","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo242",84.964,2012,"ALUGUEL","BRANCA",1676257200000,"CNPJ","SCANIA/G 400 A4X2","PRESIDENTE PRUDENTE","CAMINHAO TRATOR","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo243",66.239,2014,"PARTICULAR","BRANCA",1715828400000,"CPF","VW/NOVO GOL 1.6","OURINHOS","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo244",5.996,2021,"ALUGUEL","PRATA",1690426800000,"CNPJ","HYUNDAI/HB20S 16A FE.VIS","FOZ DO IGUACU","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo245",0.855,2020,"PARTICULAR","BRANCA",1692759600000,"CNPJ","FORD/KA SE 1.0 SD C","FOZ DO IGUACU","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo246",1.648,2023,"PARTICULAR","CINZA",1669777200000,"CNPJ","JEEP/RENEGADE SPT T270","CURITIBA","CAMIONETA","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo247",0.624,2003,"PARTICULAR","PRATA",1462849200000,"CPF","TOYOTA/COROLLA XEI18VVT","SANTA TEREZINHA DE ITAIPU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo248",6.779,2021,"ALUGUEL","PRATA",1602039600000,"CNPJ","MBENZ/MPOLO PARADISO DD","LONDRINA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo249",13.893,2019,"PARTICULAR","PRETA",1555297200000,"CPF","HYUNDAI/CRETA 16A ATTITU","SAO PAULO","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo250",0.611,2002,"PARTICULAR","PRATA",1605063600000,"CPF","TOYOTA/COROLLA XEI","SAO MIGUEL DO IGUACU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo251",0.524,2000,"PARTICULAR","CINZA",1687834800000,"CNPJ","IMP/FIAT SIENA 6 MARCHAS","ALTONIA","AUTOMOVEL","PR","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",1
"veiculo252",6.935,2024,"PARTICULAR","BRANCA",1710471600000,"CPF","CHEVROLET/S10 LTZ DD4A","GOIANIA","CAMINHONETE","GO","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo253",32.125,2022,"PARTICULAR","BRANCA",1670295600000,"CNPJ","I/VW TAOS CL TSI","CURITIBA","CAMIONETA","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo254",1.938,2014,"PARTICULAR","BRANCA",1576465200000,"CPF","I/PEUGEOT 308 ALLURE BVA","CIANORTE","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo255",34.101,2010,"PARTICULAR","PRETA",1672628400000,"CPF","TOYOTA/COROLLA GLI18FLEX","FOZ DO IGUACU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo256",34.586,2022,"PARTICULAR","AZUL",1723518000000,"CPF","FIAT/PULSE DRIVE TF200","PARAISO DO NORTE","CAMIONETA","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo257",0.612,2021,"PARTICULAR","BRANCA",1629342000000,"CPF","CHEVROLET/S10 HC DD4A","SANTA ROSA DO TOCANTINS","CAMINHONETE","TO","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo258",8.415,2020,"PARTICULAR","PRATA",1629860400000,"CNPJ","VW/VOYAGE 1.0L MC4","BRASILIA","AUTOMOVEL","DF","Veículo com registro de Roubo/Furto no sistema DENATRAN BASE 24h/7d!",1
"veiculo259",5.487,2001,"ALUGUEL","FANTASIA",1630638000000,"CNPJ","MBENZ/MPOLO PARADISO R","CURITIBA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo260",23.173,2023,"PARTICULAR","PRATA",1669172400000,"CNPJ","FIAT/ARGO 1.0","BRASILIA","AUTOMOVEL","DF","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo261",1.495,1998,"PARTICULAR","AZUL",1722999600000,"CPF","VW/SANTANA 2000 MI","CAMBE","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo262",15.396,2006,"ALUGUEL","BRANCA",1629860400000,"CNPJ","SR/RANDON SR FG","PINHAIS","SEMI-REBOQUE","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo263",1.95,2018,"ALUGUEL","BRANCA",1721012400000,"CNPJ","MBENZ/MPOLO PARADISO DD","SANTA MARIA","ONIBUS","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo264",22.252,2021,"PARTICULAR","BRANCA",1646794800000,"CPF","I/VW AMAROK V6 HIGH AD4","RANCHARIA","CAMINHONETE","SP","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo265",33.928,2015,"PARTICULAR","BRANCA",1669172400000,"CPF","HYUNDAI/HB20 1.0M COMFOR","RIBEIRAO PRETO","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo266",6.545,2023,"PARTICULAR","PRATA",1653447600000,"CNPJ","FIAT/MOBI LIKE","BELO HORIZONTE","AUTOMOVEL","MG","Veículo com indicador de Recall ativo no sistema DENATRAN BASE 24h/7d!",1
"veiculo267",8.102,2023,"PARTICULAR","BRANCA",1662692400000,"CNPJ","VW/24.280 CRM 6X2","FAZENDA RIO GRANDE","CAMINHAO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo268",24.774,2013,"PARTICULAR","BRANCA",1445824800000,"CNPJ","FIAT/FIORINO FLEX","SAO PAULO","CAMINHONETE","SP","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo269",10.54,2001,"ALUGUEL","PRATA",1683169200000,"CNPJ","MBENZ/MPOLO PARADISO R","BENTO GONCALVES","ONIBUS","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo270",44.997,2014,"PARTICULAR","BRANCA",1705374000000,"CPF","CHEVROLET/ONIX 1.0MT LT","PALMITAL","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo271",2.411,2017,"ALUGUEL","PRETA",1693450800000,"CNPJ","SCANIA/MPOLO PARADISO R","FOZ DO IGUACU","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo272",12.794,2020,"PARTICULAR","BRANCA",1647313200000,"CPF","I/FORD RANGER XLSCD2A22","GOIANIA","CAMINHONETE","GO","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo273",4.463,1993,"ALUGUEL","VERMELHA",1684206000000,"CPF","REB/A.GUERRA","SANTA LUCIA","SEMI-REBOQUE","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo274",24.317,2023,"PARTICULAR","BRANCA",1666234800000,"CNPJ","CHEV/TRACKER 12T A PR","BELO HORIZONTE","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo275",6.681,1995,"OFICIAL","BRANCA",1720666800000,"CNPJ","M.BENZ/O 400 RSD PL","MATOS COSTA","ONIBUS","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo276",2.24,2003,"PARTICULAR","PRATA",1682305200000,"CPF","FIAT/SIENA ELX","LONDRINA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo277",18.165,2019,"ALUGUEL","BRANCA",1563850800000,"CNPJ","M.BENZ/AXOR 2036 LS","SANTA CRUZ DO SUL","CAMINHAO TRATOR","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo278",9.954,2019,"ALUGUEL","CINZA",1536634800000,"CNPJ","MBENZ/MPOLO PARADISO LD","PONTA GROSSA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo279",1.041,2021,"PARTICULAR","BRANCA",1681959600000,"CPF","VW/NIVUS HL TSI AD","CAMPO GRANDE","AUTOMOVEL","MS","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo280",39.574,2007,"ALUGUEL","PRETA",1728010800000,"CNPJ","SR/GUERRA AG GR","PONTA GROSSA","SEMI-REBOQUE","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo281",17.634,2012,"PARTICULAR","PRETA",1641265200000,"CPF","I/BMW 318I PF71","CASCAVEL","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo282",1.869,2018,"PARTICULAR","BRANCA",1674010800000,"CPF","CHEV/PRISMA 10MT JOYE","CASCAVEL","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo283",0.72,2024,"PARTICULAR","BRANCA",1692846000000,"CNPJ","HYUNDAI/HB20 10M SENSE","BELO HORIZONTE","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo284",7.726,2021,"ALUGUEL","PRATA",1614222000000,"CNPJ","MBENZ/MPOLO PARADISO DD","LONDRINA","ONIBUS","PR","Veículo com indicador de Recall ativo no sistema DENATRAN BASE 24h/7d!",1
"veiculo285",9.441,2004,"PARTICULAR","PRATA",1701399600000,"CNPJ","GM/ASTRA SEDAN","RIBEIRAO DO PINHAL","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo286",5.338,2017,"PARTICULAR","PRETA",1696388400000,"CPF","NISSAN/VERSA 10","CURITIBA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo287",49.109,2023,"PARTICULAR","PRATA",1714446000000,"CPF","FIAT/ARGO 1.0","UBERLANDIA","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo288",15.619,2011,"PARTICULAR","PRATA",1690945200000,"CNPJ","VW/GOL 1.0","ALTONIA","AUTOMOVEL","PR","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",1
"veiculo289",5.506,1995,"ALUGUEL","BRANCA",1611198000000,"CNPJ","SCANIA/K113 CL 4X2 320","AVARE","ONIBUS","SP","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo290",8.189,2023,"PARTICULAR","PRATA",1715137200000,"CPF","FIAT/PULSE DRIVE TF200","PIRACICABA","CAMIONETA","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo291",5.203,2012,"PARTICULAR","VERMELHA",1619492400000,"CPF","I/JAC J3 TURIN","UNIAO DA VITORIA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo292",0.807,2008,"PARTICULAR","BEGE",1724295600000,"CPF","FIAT/PUNTO ELX 1.4","SAO JORGE DO PATROCINIO","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
