"placa","h_perm_front","anoModelo","categoria","cor","dataEmissaoCrv","descricaoTipoDocumentoProprietario","marcaModelo","municipioEmplacamento","tipo","ufEmplacamento","descricao","ilicito"
"veiculo332",43.812,1995,"ALUGUEL","PRETA",1655694000000,"CPF","REB/A.GUERRA","FOZ DO IGUACU","SEMI-REBOQUE","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo333",51.519,2021,"PARTICULAR","BRANCA",1715655600000,"CPF","FIAT/TORO FREEDOM AT6","BRASILIA","CAMINHONETE","DF","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo334",18.165,2017,"ALUGUEL","PRETA",1506654000000,"CNPJ","SR/FACCHINI SRF CF","SANTA CRUZ DO SUL","SEMI-REBOQUE","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo335",11.764,2015,"ALUGUEL","BRANCA",1417572000000,"CNPJ","SCANIA/MPOLO PARADISO DD","FLORIANOPOLIS","ONIBUS","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo336",88.362,2003,"PARTICULAR","CINZA",1572577200000,"CPF","VW/GOL SPECIAL","CONSELHEIRO LAFAIETE","AUTOMOVEL","MG","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo337",49.806,2014,"PARTICULAR","BRANCA",1688007600000,"CPF","FIAT/UNO VIVACE 1.0","FOZ DO IGUACU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo338",14.096,2003,"PARTICULAR","PRATA",1584414000000,"CPF","GM/CORSA CLASSIC","PALMEIRA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo339",1.658,2006,"PARTICULAR","PRATA",1674788400000,"CPF","FORD/FIESTA SEDAN1.6FLEX","CASCAVEL","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo340",1.063,2012,"PARTICULAR","PRATA",1683082800000,"CPF","PEUGEOT/207HB XS","MARINGA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo341",83.804,2019,"PARTICULAR","BRANCA",1718852400000,"CPF","JEEP/COMPASS LIMITED D","NOVA SERRANA","UTILITARIO","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo342",7.218,2019,"PARTICULAR","BRANCA",1603076400000,"CPF","PEUGEOT/208 ACTIVE MT","CANOAS","AUTOMOVEL","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo343",10.577,2023,"ALUGUEL","BRANCA",1653966000000,"CNPJ","VOLVO/BUSSCAR VBUSS R","PONTA GROSSA","ONIBUS","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo344",15.249,2011,"PARTICULAR","PRETA",1715569200000,"CNPJ","I/RENAULT SYMBOL EXPR 16","GOIANIA","AUTOMOVEL","GO","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo345",11.933,2023,"ALUGUEL","PRETA",1667012400000,"CNPJ","VOLVO/MPOLO PARADISO DD","TRAMANDAI","ONIBUS","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo346",1.007,2021,"PARTICULAR","BRANCA",1699585200000,"CPF","I/NISSAN VERSA EXCL CVT","CURITIBA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo347",14.044,2011,"PARTICULAR","CINZA",1644462000000,"CPF","TOYOTA/COROLLA XEI20FLEX","CARLOS BARBOSA","AUTOMOVEL","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo348",30.956,2016,"ALUGUEL","CINZA",1645758000000,"CNPJ","SR/GUERRA AG BS","OURINHOS","SEMI-REBOQUE","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo349",1.483,2008,"PARTICULAR","CINZA",1684292400000,"CPF","I/GM CLASSIC SPIRIT","PRESIDENTE EPITACIO","AUTOMOVEL","SP","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",1
"veiculo350",192.926,2014,"PARTICULAR","BRANCA",1606273200000,"CPF","TOYOTA/ETIOS SD XLS","GUAIRA","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo351",6.361,2010,"PARTICULAR","CINZA",1640746800000,"CPF","I/FIAT SIENA FIRE FLEX","JOINVILLE","AUTOMOVEL","SC","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo352",25.184,2020,"PARTICULAR","BRANCA",1680058800000,"CPF","FIAT/MOBI LIKE","SAO PAULO","AUTOMOVEL","SP","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo353",2.167,1995,"PARTICULAR","VERMELHA",1389232800000,"CPF","FIAT/UNO ELECTRONIC","PRESIDENTE PRUDENTE","AUTOMOVEL","SP","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo354",118.346,2013,"PARTICULAR","PRATA",1636686000000,"CPF","VW/NOVO GOL 1.0 CITY","CAMPINAS","AUTOMOVEL","SP","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",1
"veiculo355",2.863,1997,"PARTICULAR","PRATA",1699585200000,"CPF","GM/VECTRA GLS","PIRAPOZINHO","AUTOMOVEL","SP","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo356",1.903,2012,"PARTICULAR","PRATA",1727233200000,"CNPJ","CHEVROLET/CELTA 1.0L LS","GARCA","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo357",0.916,2012,"PARTICULAR","BRANCA",1724641200000,"CPF","VW/FOX 1.6 GII","BLUMENAU","AUTOMOVEL","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo358",2.824,2017,"OFICIAL","BRANCA",1716433200000,"CNPJ","FORD/KA SE 1.5 SD B","CORONEL DOMINGOS SOARES","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",1
"veiculo359",7.39,2011,"PARTICULAR","PRATA",1712199600000,"CPF","CHEVROLET/CLASSIC LS","CAXIAS DO SUL","AUTOMOVEL","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",1
"veiculo360",3.443,2014,"PARTICULAR","PRETA",1709694000000,"CPF","HONDA/CIVIC EXR","LONDRINA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo361",73.13,2020,"PARTICULAR","PRATA",1704855600000,"CPF","CHEV/ONIX PLUS 10TAT NB","SAO MIGUEL DO IGUACU","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo362",48.021,1980,"ALUGUEL","VERMELHA",1484532000000,"CPF","M.BENZ/LK 1113","GUAIRA","CAMINHAO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo363",0.824,2023,"PARTICULAR","AZUL",1691463600000,"CNPJ","FIAT/TORO ULTRA AT9 4X4","MATIAS BARBOSA","CAMINHONETE","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo364",129.584,2013,"ALUGUEL","BRANCA",1692068400000,"CPF","SCANIA/P 310 B8X2","SAO PAULO","CAMINHAO","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo365",3.81,2011,"ALUGUEL","BRANCA",1726801200000,"CNPJ","SCANIA/P 340 A6X2","CASCAVEL","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo366",210.306,2006,"ALUGUEL","BRANCA",1688353200000,"CPF","FIAT/FIORINO IE","PRAIA GRANDE","CAMINHONETE","SP","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo367",8.028,2018,"PARTICULAR","PRATA",1673665200000,"CPF","CHEVROLET/ONIX 1.0MT LT","SAO JOSE DOS CAMPOS","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo368",20.127,2013,"PARTICULAR","PRATA",1686884400000,"CPF","I/HYUNDAI AZERA 3.0 V6","GOIANIA","AUTOMOVEL","GO","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo369",8.604,2022,"PARTICULAR","BRANCA",1710990000000,"CPF","FIAT/PULSE AUDACE TF200","CASCAVEL","CAMIONETA","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo370",8.592,2018,"PARTICULAR","PRETA",1699412400000,"CNPJ","FORD/KA SE 1.0 SD B","LONDRINA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo371",5.7,2017,"PARTICULAR","BRANCA",1488855600000,"CPF","M.BENZ/C180FF","CASCAVEL","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo372",88.906,2019,"PARTICULAR","PRATA",1532660400000,"CNPJ","TOYOTA/ETIOS HB X VSC AT","ITAQUAQUECETUBA","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo373",74.977,2020,"ALUGUEL","VERMELHA",1587092400000,"CNPJ","VOLVO/FH 540 6X4T","PARANAGUA","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo374",1.683,2024,"PARTICULAR","PRATA",1701745200000,"CNPJ","VW/POLO TRACK MA","SAO PAULO","AUTOMOVEL","SP","Veículo com registro de Roubo/Furto no sistema DENATRAN BASE 24h/7d!",0
"veiculo375",6.191,2015,"PARTICULAR","BRANCA",1661914800000,"CPF","CHEV/PRISMA 1.0MT LT","PARANAGUA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo376",16.012,2012,"ALUGUEL","BRANCA",1674529200000,"CNPJ","I/M.BENZ 311CDI STREET F","APUCARANA","CAMINHONETE","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo377",10.106,2014,"PARTICULAR","PRATA",1712977200000,"CPF","I/FORD FOCUS SE AT 2.0 H","PAULINIA","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo378",43.165,2019,"PARTICULAR","BRANCA",1664161200000,"CNPJ","CHEV/PRISMA 1.4AT LT","SETE LAGOAS","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo379",17.409,2023,"ALUGUEL","BRANCA",1714100400000,"CNPJ","VW/EXPRESS DRF 4X2","ARAQUARI","CAMINHONETE","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo380",4.009,2022,"PARTICULAR","BRANCA",1664161200000,"CNPJ","FIAT/ARGO 1.0","BELO HORIZONTE","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo381",13.559,2022,"PARTICULAR","CINZA",1642647600000,"CPF","CAOACHERY/TIGGO8 1.6TGDI","CASCAVEL","UTILITARIO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo382",179.375,2019,"PARTICULAR","PRETA",1620961200000,"CPF","RENAULT/SANDERO STEX 16M","UBERABA","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo383",33.706,2013,"PARTICULAR","PRETA",1495508400000,"CPF","I/MMC OUTLANDER 2.0","SAO PAULO","UTILITARIO","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo384",84.653,2022,"ALUGUEL","AZUL",1639623600000,"CNPJ","SCANIA/R500 A6X2","ITABERA","CAMINHAO TRATOR","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo385",1.179,2021,"ALUGUEL","BRANCA",1632106800000,"CNPJ","M.BENZ/ACTROS 2651S 6X4","CASCAVEL","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo386",0.993,2012,"ALUGUEL","BRANCA",1712545200000,"CPF","IVECO/STRALIS 740S46TZ","QUEDAS DO IGUACU","CAMINHAO TRATOR","PR","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo387",0.61,2023,"PARTICULAR","AZUL",1661396400000,"CPF","CHEV/ONIX PLUS 10TAT PR2","GUAIRA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo388",3.188,2014,"PARTICULAR","BRANCA",1568084400000,"CPF","FIAT/PALIO ATTRACTIV 1.4","CAMPINAS","AUTOMOVEL","SP","Veículo com indicador de Recall ativo no sistema DENATRAN BASE 24h/7d!",0
"veiculo389",53.112,2022,"ALUGUEL","BRANCA",1633662000000,"CNPJ","VW/17.280 CRM 4X2","CASCAVEL","CAMINHAO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo390",11.801,2020,"ALUGUEL","AZUL",1602644400000,"CNPJ","M.BENZ/ACTROS 2651S6X4","CAFELANDIA","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo391",9.434,2015,"PARTICULAR","PRETA",1687834800000,"CPF","HYUNDAI/HB20S 1.6A COMF","INDAIATUBA","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo392",49.35,2003,"ALUGUEL","BRANCA",1685329200000,"CNPJ","SCANIA/R124 GA4X2NZ 400","SAO PAULO DAS MISSOES","CAMINHAO TRATOR","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo393",13.346,2017,"PARTICULAR","PRATA",1689562800000,"CPF","FORD/ECOSPORT FSL 1.6B","MACHADO","CAMIONETA","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo394",1.134,2011,"PARTICULAR","CINZA",1684724400000,"CPF","I/VW AMAROK CD 4X4 TREND","TOLEDO","CAMINHONETE","PR","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo395",4.383,2015,"ALUGUEL","BRANCA",1708311600000,"CNPJ","VW/24.280 CRM 6X2","DOUTOR CAMARGO","CAMINHAO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo396",1.939,2014,"PARTICULAR","BRANCA",1667185200000,"CPF","I/TOYOTA RAV4 20L 4X4","SAO JOSE DOS PINHAIS","CAMIONETA","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo397",27.197,2009,"ALUGUEL","BRANCA",1615518000000,"CPF","SCANIA/G 380 A4X2","GUAIRA","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo398",3.925,2020,"PARTICULAR","PRETA",1724036400000,"CPF","JEEP/RENEGADE 1.8 AT","CAMPINA DA LAGOA","CAMIONETA","PR","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo399",3.008,2023,"PARTICULAR","PRETA",1688094000000,"CNPJ","I/VW AMAROK V6 HIGH","SANTA CRUZ DO RIO PARDO","CAMINHONETE","SP","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",0
"veiculo400",1.409,2008,"ALUGUEL","VERMELHA",1649127600000,"CNPJ","SCANIA/R 420 A6X2","GUAIRA","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo401",1.355,2018,"OFICIAL","AZUL",1534906800000,"CNPJ","CHEV/TRAILBLAZER LT D4A","CURITIBA","UTILITARIO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo402",4.718,2017,"PARTICULAR","PRATA",1722913200000,"CPF","I/TOYOTA HILUX CDSRXA4FD","SETE QUEDAS","CAMINHONETE","MS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo403",2.605,2018,"PARTICULAR","VERMELHA",1716260400000,"CNPJ","RENAULT/SANDERO ST16RSCE","CURITIBA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo404",62.565,2020,"PARTICULAR","PRETA",1578538800000,"CPF","JEEP/RENEGADE 1.8 AT","CAMPINAS","CAMIONETA","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo405",6.382,2008,"PARTICULAR","BRANCA",1447293600000,"CPF","I/TOYOTA HILUX CD4X4 SRV","CAMBE","CAMINHONETE","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo406",12.065,2012,"PARTICULAR","PRETA",1688612400000,"CPF","I/CHEVROLET AGILE LTZ","GUARAPUAVA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo407",84.694,2003,"ALUGUEL","VERMELHA",1714359600000,"CNPJ","FORD/CARGO 1722","ARAPONGAS","CAMINHAO","PR","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo408",15.971,2011,"PARTICULAR","PRATA",1705633200000,"CNPJ","HONDA/FIT EX FLEX","SAO PAULO","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo409",45.401,2022,"PARTICULAR","PRATA",1716433200000,"CPF","HYUNDAI/HB2010TA PLATINU","BRASILIA","AUTOMOVEL","DF","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo410",1.564,2010,"PARTICULAR","BEGE",1696388400000,"CPF","GM/CORSA HATCH PREMIUM","FOZ DO IGUACU","AUTOMOVEL","PR","Veículo com restrição na Receita Federal no sistema DENATRAN BASE 24h/7d!",0
"veiculo411",64.47,2005,"ALUGUEL","BRANCA",1727060400000,"CPF","SCANIA/R124 GA4X2NZ 400","FOZ DO IGUACU","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo412",1.612,2015,"PARTICULAR","PRATA",1616036400000,"CPF","VW/VOYAGE EVIDENCE MB","GUAIRA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo413",34.461,2013,"PARTICULAR","PRETA",1700449200000,"CPF","HONDA/FIT LX FLEX","CURITIBA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo414",193.543,2016,"PARTICULAR","BRANCA",1696215600000,"CPF","TOYOTA/COROLLA XEI20FLEX","SANTA TEREZINHA DE ITAIPU","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo415",8.564,2014,"PARTICULAR","BRANCA",1659063600000,"CNPJ","I/VW JETTA 2.0T","LONDRINA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo416",14.921,2024,"PARTICULAR","PRATA",1703127600000,"CNPJ","RENAULT/DUSTER INTP CVT","SAO PAULO","CAMIONETA","SP","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo417",25.479,2011,"PARTICULAR","BRANCA",1651719600000,"CPF","FIAT/PALIO WEEK TREKKING","KALORE","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo418",185.361,2024,"PARTICULAR","PRATA",1690426800000,"CNPJ","CHEV/SPIN 18L AT PREMIER","BELO HORIZONTE","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo419",7.155,1995,"PARTICULAR","BEGE",1638154800000,"CPF","VW/LOGUS GLI 1.8","FLORESTA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo420",34.817,2015,"PARTICULAR","BRANCA",1659063600000,"CPF","CHEVROLET/S10 LT DD2A","UMUARAMA","CAMINHONETE","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo421",43.072,2006,"PARTICULAR","BRANCA",1376535600000,"CPF","GM/CLASSIC LIFE","SANTA RITA DO SAPUCAI","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo422",73.13,2020,"PARTICULAR","PRATA",1704855600000,"CPF","CHEV/ONIX PLUS 10TAT NB","SAO MIGUEL DO IGUACU","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo423",3.605,2007,"ALUGUEL","DOURADA",1719975600000,"CPF","VOLVO/FH 520 6X2T","XAPURI","CAMINHAO TRATOR","AC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo424",0.824,2023,"PARTICULAR","AZUL",1691463600000,"CNPJ","FIAT/TORO ULTRA AT9 4X4","MATIAS BARBOSA","CAMINHONETE","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo425",3.81,2011,"ALUGUEL","BRANCA",1726801200000,"CNPJ","SCANIA/P 340 A6X2","CASCAVEL","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo426",11.333,2000,"ALUGUEL","AZUL",1568257200000,"CPF","I/IVECOFIAT E 160E21 3","ARAPONGAS","CAMINHAO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo427",11.148,2017,"PARTICULAR","MARROM",1613962800000,"CPF","PEUGEOT/2008 GRIFFE AT","MONTE ALTO","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo428",20.127,2013,"PARTICULAR","PRATA",1686884400000,"CPF","I/HYUNDAI AZERA 3.0 V6","GOIANIA","AUTOMOVEL","GO","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo429",21.113,2017,"ALUGUEL","AZUL",1727233200000,"CNPJ","SCANIA/P 310 B8X2","MEDIANEIRA","CAMINHAO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo430",8.604,2022,"PARTICULAR","BRANCA",1710990000000,"CPF","FIAT/PULSE AUDACE TF200","CASCAVEL","CAMIONETA","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo431",88.906,2019,"PARTICULAR","PRATA",1532660400000,"CNPJ","TOYOTA/ETIOS HB X VSC AT","ITAQUAQUECETUBA","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo432",9.052,2016,"PARTICULAR","PRETA",1675652400000,"CPF","HONDA/HR-V EX CVT","CABO FRIO","AUTOMOVEL","RJ","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo433",1.327,2014,"PARTICULAR","PRETA",1720666800000,"CNPJ","SR/RANDON SR FG","SAO PAULO","SEMI-REBOQUE","SP","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo434",1.867,1997,"PARTICULAR","VERMELHA",1620356400000,"CPF","VW/GOL PLUS MI","SAO JORGE DO PATROCINIO","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo435",74.281,2023,"ALUGUEL","BRANCA",1672887600000,"CNPJ","DAF/XF FTS 480 SSC","MARMELEIRO","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo436",6.191,2015,"PARTICULAR","BRANCA",1661914800000,"CPF","CHEV/PRISMA 1.0MT LT","PARANAGUA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo437",3.18,2011,"ALUGUEL","BRANCA",1374202800000,"CNPJ","VW/24.250 CNC 6X2","JAGUAPITA","CAMINHAO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo438",14.201,2012,"PARTICULAR","PRATA",1719284400000,"CPF","GM/ZAFIRA ELITE","ASTORGA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo439",5.837,2019,"PARTICULAR","BRANCA",1695783600000,"CPF","I/CHEV CRUZE LT NB AT","BIRIGUI","AUTOMOVEL","SP","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo440",17.409,2023,"ALUGUEL","BRANCA",1714100400000,"CNPJ","VW/EXPRESS DRF 4X2","ARAQUARI","CAMINHONETE","SC","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo441",14.178,2016,"PARTICULAR","PRATA",1579143600000,"CNPJ","FIAT/PALIO FIRE","SAO PAULO","AUTOMOVEL","SP","Veículo com restrição judicial no sistema DENATRAN BASE 24h/7d!",0
"veiculo442",179.375,2019,"PARTICULAR","PRETA",1620961200000,"CPF","RENAULT/SANDERO STEX 16M","UBERABA","AUTOMOVEL","MG","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo443",21.881,2017,"PARTICULAR","VERDE",1678849200000,"CPF","HYUNDAI/CRETA 20A PRESTI","SUMARE","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo444",33.706,2013,"PARTICULAR","PRETA",1495508400000,"CPF","I/MMC OUTLANDER 2.0","SAO PAULO","UTILITARIO","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo445",84.653,2022,"ALUGUEL","AZUL",1639623600000,"CNPJ","SCANIA/R500 A6X2","ITABERA","CAMINHAO TRATOR","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo446",26.787,2021,"ALUGUEL","PRETA",1632711600000,"CNPJ","SR/FACCHINI SRF 2CB","CASCAVEL","SEMI-REBOQUE","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo447",1.398,2020,"ALUGUEL","BRANCA",1591671600000,"CNPJ","SCANIA/R450 A6X2","FLORESTA","CAMINHAO TRATOR","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo448",0.993,2012,"ALUGUEL","BRANCA",1712545200000,"CPF","IVECO/STRALIS 740S46TZ","QUEDAS DO IGUACU","CAMINHAO TRATOR","PR","Veículo comunicação de venda no sistema DENATRAN BASE 24h/7d!",0
"veiculo449",5.491,2017,"PARTICULAR","BRANCA",1710471600000,"CPF","TOYOTA/COROLLA GLI18 CVT","MARINGA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo450",28.533,2025,"PARTICULAR","PRETA",1726628400000,"CPF","FIAT/MOBI LIKE","OURINHOS","AUTOMOVEL","SP","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo451",3.188,2014,"PARTICULAR","BRANCA",1568084400000,"CPF","FIAT/PALIO ATTRACTIV 1.4","CAMPINAS","AUTOMOVEL","SP","Veículo com indicador de Recall ativo no sistema DENATRAN BASE 24h/7d!",0
"veiculo452",2.016,2023,"ALUGUEL","BRANCA",1689217200000,"CNPJ","VW/DELIVERY 11.180","ROLANDIA","CAMINHAO","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo453",49.35,2003,"ALUGUEL","BRANCA",1685329200000,"CNPJ","SCANIA/R124 GA4X2NZ 400","SAO PAULO DAS MISSOES","CAMINHAO TRATOR","RS","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
"veiculo454",48.153,2011,"PARTICULAR","CINZA",1713495600000,"CPF","GM/VECTRA SD EXPRESSION","JURANDA","AUTOMOVEL","PR","Não há restrições para este veículo no DENATRAN BASE 24h/7d.",0
